frame,dense_gflops,reti_gflops,energy_savings_pct,sensing_latency_ms
000149.png,45.2,45.25,-0.11061946902655162,23.024541907943785
000150.png,45.2,36.44291465378422,19.37408262437119,22.48749998398125
000151.png,45.2,45.25,-0.11061946902655162,22.270708112046123
000152.png,45.2,45.25,-0.11061946902655162,24.671416962519288
000153.png,45.2,45.25,-0.11061946902655162,22.239250014536083
000154.png,45.2,45.25,-0.11061946902655162,22.438666899688542
000155.png,45.2,45.25,-0.11061946902655162,22.842459031380713
000156.png,45.2,45.25,-0.11061946902655162,23.377457982860506
000157.png,45.2,34.88413333333334,22.822713864306778,22.61654194444418
000158.png,45.2,45.25,-0.11061946902655162,21.972332964651287
000159.png,45.2,45.25,-0.11061946902655162,20.893042092211545
000160.png,45.2,45.25,-0.11061946902655162,21.563832997344434
000161.png,45.2,45.25,-0.11061946902655162,22.05783303361386
000162.png,45.2,44.194605475040255,2.224324170264924,20.92212508432567
000163.png,45.2,42.520531400966185,5.928027873968622,21.023375098593533
000164.png,45.2,38.51731078904992,14.784710643694865,23.064249893650413
000165.png,45.2,45.21360708534622,-0.030104171119949008,21.328042028471828
000166.png,45.2,45.25,-0.11061946902655162,21.27212507184595
000167.png,45.2,45.25,-0.11061946902655162,21.607415983453393
000168.png,45.2,27.92697262479871,38.21466233451613,23.117917007766664
000169.png,45.2,28.8731884057971,36.12126458894447,20.935790962539613
000170.png,45.2,43.32117552334944,4.156691320023375,20.698416978120804
000171.png,45.2,45.25,-0.11061946902655162,21.22858294751495
000172.png,45.2,45.25,-0.11061946902655162,21.115667070262134
000173.png,45.2,45.25,-0.11061946902655162,20.539707969874144
000174.png,45.2,45.25,-0.11061946902655162,19.978541997261345
000175.png,45.2,45.25,-0.11061946902655162,21.04395895730704
000176.png,45.2,45.25,-0.11061946902655162,20.963417016901076
000177.png,45.2,45.25,-0.11061946902655162,21.022583008743823
000178.png,45.2,45.25,-0.11061946902655162,20.5212909495458
000179.png,45.2,45.25,-0.11061946902655162,21.58320799935609
000180.png,45.2,43.803599999999996,3.0893805309734623,21.441500051878393
000181.png,45.2,43.92413333333334,2.8227138643067806,20.85841598454863
000182.png,45.2,44.04466666666667,2.55604719764011,20.751167088747025
000183.png,45.2,45.25,-0.11061946902655162,20.785916014574468
000184.png,45.2,45.25,-0.11061946902655162,22.19104196410626
000185.png,45.2,45.25,-0.11061946902655162,20.647209021262825
